"index","tag","old_tag_jp","new_tag_jp","old_category_jp","new_category_jp","reason"
"8809","scar_on_mouth","口元の傷跡","口元の傷跡","身体特徴","肌","皮膚表面の傷跡"
"12796","scar_on_hand","手の傷跡","手の傷跡","身体特徴","肌","皮膚表面の傷跡"
"16734","scar_on_back","背中の傷","背中の傷","身体特徴","肌","皮膚表面の傷跡"
"18843","scar_on_shoulder","肩の傷","肩の傷","身体特徴","肌","皮膚表面の傷跡"
"1213","bandaged_arm","包帯を巻いた腕","包帯を巻いた腕","身体特徴","状態・状況","負傷状態"
"2100","bandaged_leg","包帯を巻いた脚","包帯を巻いた脚","身体特徴","状態・状況","負傷状態"
"3572","bandaged_hand","包帯を巻いた手","包帯を巻いた手","身体特徴","状態・状況","負傷状態"
"4929","bandaged_head","包帯を巻いた頭","包帯を巻いた頭","身体特徴","状態・状況","負傷状態"
"5937","bandaged_neck","包帯を巻いた首","包帯を巻いた首","身体特徴","状態・状況","負傷状態"
"6160","bandage_on_face","顔の絆創膏","顔の絆創膏","身体特徴","状態・状況","負傷状態"
"10966","bandaged_wrist","包帯を巻いた手首","包帯を巻いた手首","身体特徴","状態・状況","負傷状態"
"12688","bandaged_chest","包帯を巻いた胸","包帯を巻いた胸","身体特徴","状態・状況","負傷状態"
"13778","bandaged_fingers","包帯を巻いた指","包帯を巻いた指","身体特徴","状態・状況","負傷状態"
"18929","bandaged_foot","包帯を巻いた足","包帯を巻いた足","身体特徴","状態・状況","負傷状態"
"1397","bandaid_on_face","顔の絆創膏","顔の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"3643","bandaid_on_knee","膝の絆創膏","膝の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"4057","bandaid_on_cheek","頬の絆創膏","頬の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"5399","bandaid_on_arm","腕の絆創膏","腕の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"7062","bandaid_on_hand","手の絆創膏","手の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"11011","bandaid_on_forehead","額の絆創膏","額の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"14200","bandaid_on_neck","首の絆創膏","首の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"14897","bandaid_on_head","頭の絆創膏","頭の絆創膏","身体特徴","状態・状況","絆創膏は身体特徴ではなく負傷状態"
"16100","bandaid_on_thigh","太ももの絆創膏","太ももの絆創膏","アクセサリー","状態・状況","絆創膏は装飾品ではなく負傷状態"
"3185","wine","ワイン","ワイン","小物・道具","飲食物","飲み物"
"3331","sake","酒","酒","小物・道具","飲食物","飲み物"
"3080","egg","卵","卵","小物・道具","飲食物","食べ物"
"3564","meat","肉","肉","小物・道具","飲食物","食べ物"
"3575","grapes","ぶどう","ぶどう","成人向け/センシティブ","飲食物","一般的な食べ物"
"3576","squeans","スクインズ","眠気・酔いの記号","小物・道具","テキスト・シンボル","眠気や酔いを示す記号"
"3586","onigiri","おにぎり","おにぎり","小物・道具","飲食物","食べ物"
"3591","trading_card","トレーディングカード","トレーディングカード","テキスト・シンボル","小物・道具","カードは物品"
"3598","covered_collarbone","隠れた鎖骨","隠れた鎖骨","身体特徴","状態・様子","部位そのものではなく見え方の状態"
"3655","grey_sailor_collar","グレーのセーラー襟","グレーのセーラー襟","アクセサリー","衣服","セーラー襟は衣服の構成要素"
"3667","armpit_peek","ちらっと見える脇","ちらっと見える脇","身体特徴","状態・様子","身体部位ではなく見え方の状態"
"3668","coffee_mug","コーヒーマグ","コーヒーマグ","飲食物","小物・道具","飲み物ではなく容器"
"3780","revolver","リボルバー","リボルバー","小物・道具","武器","銃器"
"3821","hydrangea","紫陽花","紫陽花","小物・道具","自然物","花の種類"
"3859","red_sailor_collar","赤いセーラー襟","赤いセーラー襟","アクセサリー","衣服","セーラー襟は衣服の構成要素"
"3880","green_sailor_collar","緑のセーラー襟","緑のセーラー襟","アクセサリー","衣服","セーラー襟は衣服の構成要素"
"3888","wine_bottle","ワインボトル","ワインボトル","飲食物","小物・道具","飲み物ではなく容器"
"3994","dimples_of_venus","ヴィーナスのえくぼ","ヴィーナスのえくぼ","身体特徴","肌","皮膚表面の特徴"
"4013","skyscraper","高層ビル","高層ビル","成人向け/センシティブ","背景・環境","建築物"
"4025","artbook","画集","画集","小物・道具","出版物・媒体","画集からのスキャンを示す媒体タグ"
"4046","whip","鞭","鞭","小物・道具","武器","攻撃に使う武器"
"4058","spring_onion","長ねぎ","長ねぎ","小物・道具","飲食物","食材"
"4086","macaron","マカロン","マカロン","小物・道具","飲食物","食べ物"
"4131","clover","クローバー","クローバー","小物・道具","自然物","植物"
"4168","gears","歯車","歯車","自然物","機械・ロボット","機械部品"
"4174","mandarin_orange","みかん","みかん","小物・道具","飲食物","果物"
"4202","lemon","レモン","レモン","小物・道具","飲食物","果物"
"4372","flower_wreath","花輪","花輪","自然物","アクセサリー","頭や体に着ける花飾り"
"4374","median_furrow","正中溝","正中溝","身体特徴","肌","皮膚表面の線"
"4295","trident","三叉槍","三叉槍","小物・道具","武器","武器"
"4456","spider_lily","彼岸花","彼岸花","小物・道具","自然物","花の種類"
"4498","tomato","トマト","トマト","小物・道具","飲食物","食材"
"4517","parfait","パフェ","パフェ","小物・道具","飲食物","食べ物"
"4523","rapier","レイピア","レイピア","小物・道具","武器","武器"
"4531","pizza","ピザ","ピザ","小物・道具","飲食物","食べ物"
"4569","chewing_gum","チューインガム","チューインガム","自然物","飲食物","食べ物"
"4581","kunai","クナイ","クナイ","小物・道具","武器","武器"
"4604","sandwich","サンドイッチ","サンドイッチ","小物・道具","飲食物","食べ物"
"4687","fishing_rod","釣り竿","釣り竿","自然物","小物・道具","道具"
"4711","sushi","寿司","寿司","小物・道具","飲食物","食べ物"
"4676","vegetable","野菜","野菜","家具・設備","飲食物","食材"
"4806","lance","槍","槍","小物・道具","武器","武器"
"4827","cream","クリーム","クリーム","小物・道具","飲食物","食べ物の材料"
"4959","sake_bottle","酒瓶","酒瓶","飲食物","小物・道具","飲み物ではなく容器"
"4985","stuffed_cat","猫のぬいぐるみ","猫のぬいぐるみ","自然物","小物・道具","ぬいぐるみは物品"
"5165","french_fries","フライドポテト","フライドポテト","小物・道具","飲食物","食べ物"
"5183","cosmetics","化粧品","化粧品","小物・道具","化粧・装飾","化粧に使うもの"
"5191","covered_face","覆われた顔","覆われた顔","身体特徴","状態・様子","顔の遮蔽状態"
"5098","covered_abs","覆われた腹筋","覆われた腹筋","身体特徴","状態・様子","腹部の遮蔽状態"
"5129","mochi","餅","餅","小物・道具","飲食物","食べ物"
"5228","snot","鼻水","鼻水","身体特徴","状態・状況","身体から出る状態"
"5232","grenade","手榴弾","手榴弾","小物・道具","武器","武器"
"5242","cheese","チーズ","チーズ","小物・道具","飲食物","食べ物"
"5297","flower_pot","植木鉢","植木鉢","自然物","小物・道具","鉢は物品"
"5035","black_feathers","黒い羽根","黒い羽根","身体特徴","自然物","羽根そのもの"
"5145","looking_at_phone","スマホを見ている","スマホを見ている","構図・カメラ","ポーズ・動作","対象を見る動作"
"4502","bolt_action","ボルトアクション","ボルトアクション","小物・道具","武器","銃器の作動方式"
"12442","hair_color_connection","髪色のつながり","髪色のつながり","髪・目・肌","作品関係","複数キャラ間の関係タグ"
"19028","stitched_leg","縫合された脚","縫合された脚","身体特徴","肌","縫合痕のある皮膚表面"
"19097","missing_eye","片目欠損","片目欠損","身体特徴","目","目そのものの欠損"
"19153","stomach_growling","お腹が鳴る","お腹が鳴る","身体特徴","状態・状況","身体状態"
"19337","ribbon_in_braid","三つ編みに入れたリボン","三つ編みに入れたリボン","髪","アクセサリー","髪に編み込んだリボン"
"19365","borrowed_hairstyle","借りた髪型","借りた髪型","髪","作品関係","別キャラの髪型を使う関係タグ"
"19371","hairstyle_connection","髪型のつながり","髪型のつながり","髪","作品関係","複数キャラ間の関係タグ"
"19377","matching_hairstyle","おそろいの髪型","おそろいの髪型","髪","作品関係","複数キャラ間の関係タグ"
"19438","dilated_pupils","散大した瞳孔","散大した瞳孔","目","状態・状況","瞳孔の状態"
"19441","shiny_eyes","光沢のある目","光沢のある目","目","効果・演出","光沢表現"
"19454","glowing_pupils","光る瞳孔","光る瞳孔","目","効果・演出","発光表現"
"19462","drawn_eyes","描かれた目","描かれた目","目","効果・演出","身体や物体に描かれた目"
"19470","eye_glitter","目のきらめき","目のきらめき","目","効果・演出","光沢表現"
"19475","melting_eyes","溶けた目","溶けた目","目","効果・演出","変形・演出表現"
"19499","eye_color_connection","目の色のつながり","目の色のつながり","目","作品関係","複数キャラ間の関係タグ"
"19500","moon_phases_over_eye","目の上の月相模様","目の上の月相模様","目","顔・メイク","目の上に重ねた装飾"
"19502","cyberpsychosis_eyes","サイバーサイコシスの目","サイバーサイコシスの目","目","効果・演出","物理的な目ではない象徴表現"
"19509","glowing_skin","光る肌","光る肌","肌","効果・演出","発光表現"
"19516","skin_color_connection","肌色のつながり","肌色のつながり","肌","作品関係","複数キャラ間の関係タグ"
"18590","grape_hair_ornament","ぶどうの髪飾り","ぶどうの髪飾り","成人向け/センシティブ","アクセサリー","髪飾り"
"18790","disembodied_eye","切り離された目","切り離された目","身体特徴","目","目そのもの"
"18915","flaming_hand","燃える手","燃える手","身体特徴","効果・演出","炎の表現"
"18326","yellow_feathers","黄色い羽根","黄色い羽根","身体特徴","自然物","羽根"
"18499","headphones_removed","外したヘッドホン","外したヘッドホン","小物・道具","状態・状況","アクセサリーを外した状態"
"17941","brown_feathers","茶色の羽根","茶色の羽根","身体特徴","自然物","羽根"
"17017","fiery_wings","炎の翼","炎の翼","身体特徴","効果・演出","炎の表現"
"17114","drawn_whiskers","描かれたひげ","描かれたひげ","顔・表情","効果・演出","顔に描かれたフィルター表現"
"17458","aroused_nosebleed","興奮による鼻血","興奮による鼻血","表情・感情","状態・状況","身体状態"
"16637","pet_food","ペットフード","ペットフード","小物・道具","飲食物","動物用の食べ物"
"16758","hairstyle_switch","髪型の入れ替え","髪型の入れ替え","髪・目・肌","状態・状況","二人の髪型交換を示す状態タグ"
"16861","gauze_on_cheek","頬のガーゼ","頬のガーゼ","アクセサリー","状態・状況","医療用ガーゼの装着状態"
"16084","head_steam","頭から湯気","頭から湯気","表情・感情","効果・演出","感情から出る湯気の演出"
"16094","stitched_torso","縫合された胴体","縫合された胴体","身体特徴","肌","胴体の縫合痕"
"16127","black_hands","黒い手","黒い手","身体特徴","肌","肌と異なる色の手"
"16310","cash_register","レジスター","レジスター","小物・道具","家具・設備","設備"
"16477","fiery_tail","炎の尻尾","炎の尻尾","身体特徴","効果・演出","炎の表現"
"15048","lazy_eye","斜視","斜視","目","視線・構図","視線のずれ"
"15075","cross-eyed","寄り目","寄り目","目","視線・構図","視線の向き"
"15172","single_tear","一筋の涙","一筋の涙","表情・感情","状態・状況","身体状態"
"15444","eye_reflection","瞳の反射","瞳の反射","目","効果・演出","目に映る反射"
"15603","hanging_light","吊り下げ照明","吊り下げ照明","小物・道具","家具・設備","照明設備"
"15771","cartridge","カートリッジ","カートリッジ","小物・道具","武器","弾薬"
"15894","vacuum_cleaner","掃除機","掃除機","小物・道具","家具・設備","家電"
"15973","flying_teardrops","飛び散る涙","飛び散る涙","表情・感情","状態・状況","身体状態"
"15113","runny_nose","鼻水","鼻水","表情・感情","状態・状況","身体状態"
"15167","ketchup_bottle","ケチャップボトル","ケチャップボトル","飲食物","小物・道具","食品の容器"
"14509","bloodshot_eyes","充血した目","充血した目","目","状態・状況","一時的な目の状態"
"14528","super_soaker","水鉄砲","水鉄砲","小物・道具","武器","水鉄砲"
"14562","bath_stool","風呂椅子","風呂椅子","小物・道具","家具・設備","家具"
"14955","analogous_colors","類似色","類似色","成人向け/センシティブ","色・配色","色の組み合わせ"
"14957","canned_coffee","缶コーヒー","缶コーヒー","飲食物","小物・道具","飲み物の容器"
"14159","beer_bottle","ビール瓶","ビール瓶","飲食物","小物・道具","飲み物の容器"
"14178","mutton_chops","もみあげひげ","もみあげひげ","顔・メイク","身体特徴","顔ひげは頭髪ではない身体特徴"
"13556","cropped_head","頭部が画面外","頭部が画面外","画風・表現","構図・配置","頭部の切り取りは構図"
"13619","portal_(object)","ポータル","ポータル","小物・道具","効果・演出","空間をつなぐゲート"
"13624","drawn_ears","描かれた耳","描かれた耳","身体特徴","効果・演出","顔に描かれたフィルター表現"
"13028","pelt","毛皮","毛皮","衣服","素材・質感","動物の皮と毛皮そのもの"
"13177","canopy_bed","天蓋付きベッド","天蓋付きベッド","小物・道具","家具・設備","家具"
"13363","stitched_arm","縫合された腕","縫合された腕","身体特徴","肌","縫合痕のある皮膚表面"
"13406","green_feathers","緑羽","緑の羽根","身体特徴","自然物","羽根"
"12609","dirty_feet","汚れた足","汚れた足","身体特徴","状態・状況","足の汚れは状態"
"12025","pentagon_(railgun_ky1206)","五角形（railgun ky1206）","pentagon（railgun ky1206）","小物・道具","作品・シリーズ","オリジナルキャラクター群の分類タグ"
"12392","red_nose","赤い鼻","赤い鼻","身体特徴","肌","鼻の色・表面特徴"
"11257","red_feathers","赤い羽根","赤い羽根","小物・道具","自然物","羽根"
"11462","bean_bag_chair","ビーズクッション","ビーズクッション","小物・道具","家具・設備","家具"
"11476","wooden_chair","木製椅子","木製椅子","小物・道具","家具・設備","家具"
"11525","glowing_tattoo","光るタトゥー","光るタトゥー","身体特徴","効果・演出","発光は演出"
"11609","gaming_chair","ゲーミングチェア","ゲーミングチェア","小物・道具","家具・設備","家具"
"11904","red_hands","赤い手","赤い手","身体特徴","肌","肌と異なる色の手"
"11007","single_thigh_boot","片方のサイブーツ","片方のサイハイブーツ","衣服","衣服","thigh-high bootの訳を明確化"
"11008","tail_around_own_leg","自分の脚に巻いた尻尾","自分の脚に巻いた尻尾","身体特徴","ポーズ・動作","尻尾の位置"
"11027","stitched_mouth","縫い合わされた口","縫い合わされた口","身体特徴","肌","顔の表面に残る特徴"
"11063","machine","機械","機械","小物・道具","機械・ロボット","機械"
"11072","wall_clock","壁掛け時計","壁掛け時計","小物・道具","家具・設備","設備"
"11111","washing_machine","洗濯機","洗濯機","小物・道具","家具・設備","設備"
"10637","folding_chair","折りたたみ椅子","折りたたみ椅子","小物・道具","家具・設備","家具"
"10988","bar_stool","バースツール","バースツール","小物・道具","家具・設備","家具"
"10174","glowing_wings","光る翼","光る翼","身体特徴","効果・演出","発光は演出"
"10250","glowing_hair","光る髪","光る髪","髪・目・肌","効果・演出","発光は演出"
"10277","hospital_bed","病院ベッド","病院ベッド","小物・道具","家具・設備","家具"
"10331","analog_clock","アナログ時計","アナログ時計","成人向け/センシティブ","小物・道具","時計"
"9517","hand_net","手網","タモ網","衣服","小物・道具","タモ網は道具"
"9552","chest_of_drawers","タンス","タンス","小物・道具","家具・設備","家具"
"9574","mechanical_eye","機械の目","機械の目","身体特徴","目","目の外見"
"9707","tail_between_legs","脚の間の尻尾","脚の間の尻尾","身体特徴","ポーズ・動作","尻尾の位置"
"9804","ootachi","大太刀","大太刀","小物・道具","武器","武器"
"9882","h&k_hk416","H&K HK416","H&K HK416","小物・道具","武器","銃器"
"9892","buster_sword","バスターソード","バスターソード","小物・道具","武器","剣"
"9966","flaming_weapon","燃える武器","燃える武器","小物・道具","武器","武器の演出を含む武器タグ"
"2153","tail_raised","上がった尻尾","上がった尻尾","身体特徴","ポーズ・動作","尻尾の位置"
"9206","spear_the_gungnir","槍・グングニル","グングニルの槍","小物・道具","武器","槍の固有名を含む武器タグ"
"9296","master_sword","マスターソード","マスターソード","小物・道具","武器","剣"
"9305","torpedo_launcher","魚雷発射機","魚雷発射機","小物・道具","武器","兵器"
"9345","kanabou","金棒","金棒","小物・道具","武器","武器"
"9376","ammunition","弾薬","弾薬","小物・道具","武器","兵器用の弾薬"
"9446","sweaty_armpits","汗ばんだ脇","汗ばんだ脇","身体特徴","状態・状況","汗による身体状態"
"8580","lounge_chair","ラウンジチェア","ラウンジチェア","小物・道具","家具・設備","家具"
"8648","artificial_eye","義眼","義眼","身体特徴","目","目の外見"
"8703","wooden_sword","木刀","木刀","小物・道具","武器","武器"
"8710","halberd","ハルバード","ハルバード","小物・道具","武器","武器"
"8890","cucumber","きゅうり","きゅうり","成人向け/センシティブ","飲食物","食べ物"
"8960","missile","ミサイル","ミサイル","小物・道具","武器","兵器"
"8021","multiple_weapons","複数の武器","複数の武器","小物・道具","武器","武器の複数指定"
"8023","gatling_gun","ガトリング砲","ガトリング砲","小物・道具","武器","武器"
"8038","blue_feathers","青羽","青い羽根","身体特徴","自然物","羽根"
"8076","scissor_blade_(kill_la_kill)","片太刀バサミ","片太刀バサミ","小物・道具","武器","武器"
"8093","inverted_cross","逆十字","逆十字","小物・道具","テキスト・シンボル","宗教的な記号"
"8104","mace","メイス","メイス","小物・道具","武器","武器"
"8128","crossbow","クロスボウ","クロスボウ","小物・道具","武器","武器"
"8152","birthmark","あざ","生まれつきのあざ","身体特徴","肌","出生時からある皮膚の印"
"8186","torpedo_tubes","魚雷発射管","魚雷発射管","小物・道具","武器","兵器の発射装置"
"8277","lotion_bottle","ローションボトル","ローションボトル","成人向け/センシティブ","小物・道具","一般的な容器"
"8327","naginata","薙刀","薙刀","小物・道具","武器","武器"
"8365","heart_facial_mark","ハート形の顔のマーク","ハート形の顔のマーク","身体特徴","化粧・装飾","顔に描かれた装飾"
"8420","spiked_club","スパイク付き棍棒","スパイク付き棍棒","小物・道具","武器","武器"
"8453","multiple_swords","複数の剣","複数の剣","小物・道具","武器","武器の複数指定"
"7014","sweet_potato","さつまいも","さつまいも","小物・道具","飲食物","食べ物"
"7061","spread_wings","広げた翼","広げた翼","身体特徴","ポーズ・動作","翼を広げる動作"
"7102","birdcage","鳥かご","鳥かご","自然物","小物・道具","人工物"
"7173","refrigerator","冷蔵庫","冷蔵庫","小物・道具","家具・設備","大型家電"
"7213","baguette","バゲット","バゲット","小物・道具","飲食物","食べ物"
"7299","orange_slice","オレンジの輪切り","オレンジの輪切り","自然物","飲食物","食べ物"
"7301","fangs_out","牙を出す","牙を出す","身体特徴","表情・感情","牙を見せる表情"
"7343","park_bench","公園のベンチ","公園のベンチ","小物・道具","家具・設備","家具"
"7416","swing","ブランコ","ブランコ","自然物","家具・設備","遊具"
"7430","bomb","爆弾","爆弾","小物・道具","武器","武器"
"7546","checkerboard_cookie","市松模様クッキー","市松模様クッキー","小物・道具","飲食物","食べ物"
"7388","slap_mark","平手打ち跡","平手打ち跡","身体特徴","肌","皮膚表面の痕"
"7710","aegyo_sal","涙袋","涙袋","身体特徴","肌","目の下の皮膚のふくらみ"
"7731","cumulonimbus_cloud","積乱雲","積乱雲","成人向け/センシティブ","背景・環境","雲"
"7765","wisteria","藤","藤","小物・道具","自然物","花"
"7790","battle_axe","戦斧","戦斧","小物・道具","武器","武器"
"7630","makuwauri","まくわうり","まくわうり","小物・道具","飲食物","果物"
"7843","pie","パイ","パイ","小物・道具","飲食物","食べ物"
"7947","berry","ベリー","ベリー","小物・道具","飲食物","果物"
"7973","m4_carbine","M4カービン","M4カービン","小物・道具","武器","銃器"
"6506","whipped_cream","ホイップクリーム","ホイップクリーム","小物・道具","飲食物","食べ物の材料"
"6516","juice_box","ジュースボックス","ジュースパック","自然物","小物・道具","飲み物の容器"
"6555","headlamp","ヘッドランプ","ヘッドランプ","家具・設備","アクセサリー","頭に装着する用品"
"6561","toast","トースト","トースト","小物・道具","飲食物","食べ物"
"6650","drawing_tablet","ペンタブレット","ペンタブレット","自然物","小物・道具","道具"
"6664","stitched_face","縫い目のある顔","縫い目のある顔","身体特徴","肌","顔の皮膚表面の特徴"
"6868","rocket_launcher","ロケットランチャー","ロケットランチャー","自然物","武器","武器"
"6884","shuriken","手裏剣","手裏剣","小物・道具","武器","武器"
"6923","blueberry","ブルーベリー","ブルーベリー","小物・道具","飲食物","食べ物"
"6983","pastry","ペイストリー","ペイストリー","小物・道具","飲食物","食べ物"
"6992","coral","珊瑚","珊瑚","小物・道具","自然物","自然物"
"6999","taiyaki","たい焼き","たい焼き","小物・道具","飲食物","食べ物"
"5824","crossed_bandaids","交差した絆創膏","交差した絆創膏","アクセサリー","状態・状況","医療用の貼付状態"
"5872","lemon_slice","レモンスライス","レモンスライス","自然物","飲食物","食べ物"
"5889","sweets","スイーツ","スイーツ","小物・道具","飲食物","食べ物"
"5951","milk_bottle","牛乳瓶","牛乳瓶","飲食物","小物・道具","飲み物の容器"
"5981","gae_bolg_(fate)","ゲイ・ボルク（Fate）","ゲイ・ボルク（Fate）","小物・道具","武器","武器"
"6038","drawing_(object)","絵","絵","自然物","小物・道具","物品としての絵"
"6076","rice_bowl","茶碗","茶碗","飲食物","小物・道具","食器"
"6238","dessert","デザート","デザート","小物・道具","飲食物","食べ物"
"6287","tulip","チューリップ","チューリップ","小物・道具","自然物","花"
"6308","potato_chips","ポテトチップス","ポテトチップス","小物・道具","飲食物","食べ物"
"6315","magazine_(object)","雑誌","雑誌","小物・道具","出版物・媒体","出版物"
"6354","milk_carton","牛乳パック","牛乳パック","飲食物","小物・道具","飲み物の容器"
"6403","fried_egg","目玉焼き","目玉焼き","小物・道具","飲食物","食べ物"
"6406","wreath","リース","リース","小物・道具","アクセサリー","装飾用のリース"
"6417","hickey","キスマーク","キスマーク","身体特徴","肌","皮膚表面の痕"
"6446","crepe","クレープ","クレープ","小物・道具","飲食物","食べ物"
"6449","curry","カレー","カレー","小物・道具","飲食物","食べ物"
"5314","lotion","ローション","ローション","成人向け/センシティブ","小物・道具","一般的な液体用品"
"5359","lily_pad","蓮の葉","蓮の葉","小物・道具","自然物","植物の葉"
"5365","seashell","貝殻","貝殻","小物・道具","自然物","自然物"
"5388","lotus","蓮","蓮","小物・道具","自然物","植物"
"5396","omelet","オムレツ","オムレツ","小物・道具","飲食物","食べ物"
"5397","ice_cube","氷","氷","自然物","小物・道具","氷の塊は物品"
"5428","dice","サイコロ","サイコロ","自然物","小物・道具","ゲーム用品"
"5429","disposable_coffee_cup","使い捨てコーヒーカップ","使い捨てコーヒーカップ","飲食物","小物・道具","容器"
